track_id,track_name,artist_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_viral
4VDAAeMGq6AQZi1GzO8SQS,In Your Eyes,Robin Schulz;Alida,3,208222,0,0.57,0.672,8,-5.888,0,0.0716,0.172,1.04e-06,0.0768,0.461,120.018,4,0
6mod8hXI1qI0O0h7q5gcsQ,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",Faith Hill,0,247040,0,0.373,0.333,10,-9.876,1,0.0303,0.59,0.0,0.121,0.0815,110.241,4,0
3G0C3Z9H9CLejvrkWbGBb7,Pa' Madrid,El Barrio,60,260185,0,0.632,0.944,1,-3.065,1,0.0476,0.239,0.0,0.125,0.934,166.925,4,0
0YUZNLz04DGNiV9BQGhybh,Control (feat. Sirius Trema),Synapson;Sirius Trema,24,238720,0,0.54,0.834,0,-6.942,1,0.0531,0.0917,0.00282,0.158,0.377,117.086,4,0
6WFhyQ6n43T6bWQgjtW3aX,Long Haul,Ian Munsick,0,231265,0,0.505,0.627,6,-7.851,1,0.0273,0.423,7.4e-05,0.0755,0.296,141.881,4,0
4IcB2mInTQ5jFCbcsREc8q,"Saul, HWV 53: Dead March",George Frideric Handel;London Early Opera;Bridget Cunningham,0,186213,0,0.183,0.00699,11,-30.087,1,0.039,0.952,0.965,0.124,0.0728,134.455,3,0
45kO3hZk9ncs964gpUsARQ,God Is Dead (Meet The Kids),British India,26,209360,0,0.445,0.834,8,-4.792,1,0.0306,0.000645,3.66e-06,0.0695,0.272,125.482,4,0
6ucDjMpL1RzH8bJ1mwoNpI,Reuben's Train,Foghorn Stringband,25,214727,0,0.617,0.711,9,-4.941,1,0.0334,0.537,0.0004,0.146,0.721,142.79,4,0
1l1ra0gsPlpnDOc4HdkKZU,O Come All Ye Faithful,Weezer,0,124653,0,0.516,0.818,11,-6.076,1,0.0393,0.00701,0.0,0.337,0.769,121.907,4,0
3ROMQLV9N3HjrcqvV88dSP,Shang-Chi Main Theme,Samuel Kim,43,221807,0,0.324,0.766,9,-8.478,0,0.0776,0.0261,0.844,0.102,0.0399,174.017,4,0
4EW5B2AfEQNV9muXbSmKse,Fuck the Olympics,The Kill,13,64533,0,0.272,0.972,3,-4.334,0,0.131,2.66e-06,0.181,0.125,0.0348,114.013,4,0
2k220fBOc7e12Xz1FlApY3,The Guy Who Shot His Kid Up With Aids Is Awesom,Anal Cunt,13,59266,0,0.355,0.959,10,-6.204,0,0.205,0.00047,0.000543,0.119,0.189,126.648,4,0
457p7UH7hoHrbA2iI4PSCA,Live for the Night,Krewella,50,206480,1,0.499,0.843,6,-2.224,1,0.113,0.0138,0.0,0.124,0.533,127.932,4,0
7jRiYlv4KQU2vT6lG7I1to,Breath,The Blaze,57,229426,0,0.379,0.502,11,-10.84,0,0.0528,0.158,0.533,0.0934,0.0373,124.995,4,0
6rv5QNHsRsLQtbbn6nlUsW,Another Chance,Wavey,56,178909,0,0.764,0.337,6,-14.35,0,0.0472,0.351,0.0172,0.0991,0.178,110.043,4,0
